Time,Time2,Voltage,Current density
0,0,0.0031,0
0.001111111,4,0.0031,0
0.002222222,8,0.0031,0
0.003333333,12,1.9822,1.226
0.004444444,16,2.0086,1.226
0.005555556,20,1.9818,1.1444
0.006666667,24,1.9817,1.1444
0.007777778,28,1.9821,1.1444
0.008888889,32,2.1207,1.516
0.01,36,2.1182,1.516
0.011111111,40,2.0117,1.2348
0.012222222,44,2.0133,1.2348
0.013333333,48,2.014,1.2348
0.014444444,52,2.0121,1.2284
0.015555556,56,2.0124,1.2284
0.016666667,60,2.1998,1.722
0.017777778,64,2.194,1.7224
0.018888889,68,2.1908,1.7224
0.02,72,2.0578,1.3676
0.021111111,76,2.0601,1.3676
0.022222222,80,2.0481,1.3328
0.023333333,84,2.0487,1.3328
0.024444444,88,2.0491,1.3328
0.025555556,92,2.0847,1.4268
0.026666667,96,2.0843,1.4268
0.027777778,100,2.032,1.286
0.028888889,104,2.032,1.286
0.03,108,2.0326,1.286
0.031111111,112,1.8899,0.8868
0.032222222,116,1.8909,0.8868
0.033333333,120,1.8916,1.022
0.034444444,124,1.9402,1.022
0.035555556,128,1.9402,1.022
0.036666667,132,1.9432,1.0296
0.037777778,136,1.9433,1.0296
0.038888889,140,1.9435,1.0296
0.04,144,1.9651,1.0892
0.041111111,148,1.9651,1.0892
0.042222222,152,1.9674,1.0952
0.043333333,156,1.9675,1.0952
0.044444444,160,1.9676,1.0952
0.045555556,164,1.9725,1.1088
0.046666667,168,1.9725,1.1088
0.047777778,172,1.9862,1.146
0.048888889,176,1.9862,1.146
0.05,180,1.9862,1.146
0.051111111,184,1.9999,1.1836
0.052222222,188,1.9999,1.1836
0.053333333,192,1.8312,0.7144
0.054444444,196,1.8318,0.7144
0.055555556,200,1.8324,0.7144
0.056666667,204,1.7541,0.5032
0.057777778,208,1.7543,0.5032
0.058888889,212,1.9173,0.9524
0.06,216,1.9193,0.9524
0.061111111,220,1.9194,0.9524
0.062222222,224,1.9243,0.966
0.063333333,228,1.9244,0.966
0.064444444,232,2.0081,1.1936
0.065555556,236,2.0075,1.1936
0.066666667,240,2.007,1.1936
0.067777778,244,2.0757,1.3752
0.068888889,248,2.0743,1.3752
0.07,252,2.0364,1.2784
0.071111111,256,2.0367,1.2784
0.072222222,260,2.0367,1.2784
0.073333333,264,1.9547,1.0556
0.074444444,268,1.9553,1.0556
0.075555556,272,1.98,1.1224
0.076666667,276,1.9803,1.1224
0.077777778,280,1.9804,1.1224
0.078888889,284,2.0179,1.2236
0.08,288,2.0176,1.2236
0.081111111,292,1.8152,0.6656
0.082222222,296,1.8155,0.6652
0.083333333,300,1.8161,0.6652
0.084444444,304,1.8301,0.7024
0.085555556,308,1.8304,0.7024
0.086666667,312,1.8761,0.8292
0.087777778,316,1.8768,0.8292
0.088888889,320,1.8769,0.8292
0.09,324,1.9044,0.9048
0.091111111,328,1.9044,0.9048
0.092222222,332,1.8495,0.7524
0.093333333,336,1.8495,0.7524
0.094444444,340,1.8497,0.7524
0.095555556,344,1.8682,0.8028
0.096666667,348,1.8683,0.8028
0.097777778,352,1.8008,0.6172
0.098888889,356,1.8004,0.6172
0.1,360,1.8006,0.6172
0.101111111,364,1.9383,0.994
0.102222222,368,1.9384,0.994
0.103333333,372,1.7905,0.584
0.104444444,376,1.7881,0.584
0.105555556,380,1.7884,0.584
0.106666667,384,1.9023,0.894
0.107777778,388,1.9027,0.894
0.108888889,392,1.9113,0.9184
0.11,396,1.9116,0.9184
0.111111111,400,1.9115,0.9184
0.112222222,404,1.997,1.1484
0.113333333,408,1.9962,1.1484
0.114444444,412,1.8918,0.8636
0.115555556,416,1.891,0.8636
0.116666667,420,1.8914,0.8636
0.117777778,424,1.9146,0.9264
0.118888889,428,1.9147,0.9264
0.12,432,1.8831,0.8376
0.121111111,436,1.8824,0.8376
0.122222222,440,1.8826,0.8376
0.123333333,444,1.8778,0.824
0.124444444,448,1.878,0.824
0.125555556,452,1.9876,1.1296
0.126666667,456,1.991,1.1296
0.127777778,460,1.9904,1.1296
0.128888889,464,1.9222,0.9468
0.13,468,1.9225,0.9468
0.131111111,472,1.8894,0.8544
0.132222222,476,1.8891,0.8544
0.133333333,480,1.8893,0.8544
0.134444444,484,1.9161,0.9272
0.135555556,488,1.9162,0.9272
0.136666667,492,1.9162,0.9272
0.137777778,496,1.9153,0.9244
0.138888889,500,1.9154,0.9244
0.14,504,1.9261,0.9532
0.141111111,508,1.9261,0.9532
0.142222222,512,1.9261,0.884
0.143333333,516,1.9009,0.884
0.144444444,520,1.901,0.884
0.145555556,524,1.8272,0.682
0.146666667,528,1.8273,0.682
0.147777778,532,1.8275,0.5104
0.148888889,536,1.7626,0.5104
0.15,540,1.7627,0.5104
0.151111111,544,1.8404,0.7168
0.152222222,548,1.841,0.7168
0.153333333,552,1.8412,0.7168
0.154444444,556,1.8467,0.7316
0.155555556,560,1.8467,0.7316
0.156666667,564,1.7488,0.4728
0.157777778,568,1.7486,0.4728
0.158888889,572,1.7486,0.4728
0.16,576,1.7423,0.4568
0.161111111,580,1.7424,0.4568
0.162222222,584,1.7232,0.4084
0.163333333,588,1.723,0.4084
0.164444444,592,1.7231,0.4084
0.165555556,596,1.7279,0.4204
0.166666667,600,1.728,0.42
0.167777778,604,1.7689,0.524
0.168888889,608,1.7694,0.524
0.17,612,1.7696,0.524
0.171111111,616,1.7639,0.5092
0.172222222,620,1.764,0.5092
0.173333333,624,1.7845,0.5624
0.174444444,628,1.7848,0.5624
0.175555556,632,1.7849,0.5624
0.176666667,636,1.7075,0.3692
0.177777778,640,1.7073,0.3692
0.178888889,644,1.7521,0.4808
0.18,648,1.753,0.4808
0.181111111,652,1.7531,0.4808
0.182222222,656,1.7373,0.4408
0.183333333,660,1.7372,0.4408
0.184444444,664,1.6894,0.3252
0.185555556,668,1.6887,0.3252
0.186666667,672,1.6886,0.3252
0.187777778,676,1.6789,0.3032
0.188888889,680,1.6788,0.3032
0.19,684,1.7847,0.5676
0.191111111,688,1.7872,0.5676
0.192222222,692,1.7877,0.5676
0.193333333,696,1.6853,0.3164
0.194444444,700,1.6849,0.3164
0.195555556,704,1.7747,0.5392
0.196666667,708,1.7768,0.5392
0.197777778,712,1.777,0.5392
0.198888889,716,1.7675,0.5148
0.2,720,1.7676,0.5144
0.201111111,724,1.651,0.2388
0.202222222,728,1.6493,0.2388
0.203333333,732,1.6489,0.2388
0.204444444,736,1.7806,0.5524
0.205555556,740,1.7822,0.5524
0.206666667,744,1.7298,0.418
0.207777778,748,1.7291,0.418
0.208888889,752,1.729,0.418
0.21,756,1.6999,0.3488
0.211111111,760,1.6997,0.3488
0.212222222,764,1.686,0.3164
0.213333333,768,1.6855,0.3164
0.214444444,772,1.6855,0.3164
0.215555556,776,1.7699,0.522
0.216666667,780,1.771,0.5224
0.217777778,784,1.7135,0.3768
0.218888889,788,1.7121,0.3768
0.22,792,1.712,0.3768
0.221111111,796,1.4492,0
0.222222222,800,1.4386,0
0.223333333,804,1.4385,0
0.224444444,808,1.4402,0
0.225555556,812,1.4412,0
0.226666667,816,1.69,0.348
0.227777778,820,1.694,0.348
0.228888889,824,1.7931,0.5996
0.23,828,1.7979,0.5996
0.231111111,832,1.7995,0.6
0.232222222,836,1.6808,0.3076
0.233333333,840,1.6801,0.3076
0.234444444,844,1.6801,0
0.235555556,848,1.4414,0
0.236666667,852,1.4395,0
0.237777778,856,1.7012,0.3704
0.238888889,860,1.7052,0.3704
0.24,864,1.7065,0.3704
0.241111111,868,1.6619,0.2692
0.242222222,872,1.6621,0.2692
0.243333333,876,1.6743,0.2956
0.244444444,880,1.6746,0.2956
0.245555556,884,1.6748,0.2956
0.246666667,888,1.6652,0.2744
0.247777778,892,1.6653,0.2744
0.248888889,896,1.679,0.3044
0.25,900,1.6793,0.3044
0.251111111,904,1.6795,0.3044
0.252222222,908,1.6983,0.3468
0.253333333,912,1.6985,0.3468
0.254444444,916,1.6532,0.2464
0.255555556,920,1.6525,0.2464
0.256666667,924,1.6524,0.2464
0.257777778,928,1.6259,0.194
0.258888889,932,1.6257,0.194
0.26,936,1.6617,0.268
0.261111111,940,1.6624,0.268
0.262222222,944,1.6626,0.268
0.263333333,948,1.7194,0.3964
0.264444444,952,1.72,0.3964
0.265555556,956,1.6369,0.2124
